5G0E3559,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5
928 records,MPS-2 Water Potential/Temp,MPS-2 Water Potential/Temp,MPS-6 Water Potential/Temp,MPS-6 Water Potential/Temp,SRS-Nr NDVI Field Stop,SRS-Nr NDVI Field Stop,SRS-Nr NDVI Field Stop,GS3 Moisture/Temp/EC,GS3 Moisture/Temp/EC,GS3 Moisture/Temp/EC,SRS-Ni NDVI Hemispherical,SRS-Ni NDVI Hemispherical,SRS-Ni NDVI Hemispherical
Measurement Time,kPa Potential,øC Temp,kPa Potential,øC Temp,630 nm,800 nm,NDVI,m?/m? VWC,øC Temp,dS/m EC Bulk,630 nm,800 nm,à for NDVI
10/6/14 17:00,-471.2,21.5,-6327.4,15.7,0.0167,0.0212,0.270,0.085,23.4,0.059,0.6160,0.4500,1.369
10/6/14 18:00,-488.3,21.3,-6259.3,15.7,0.0114,0.0136,0.228,0.084,22.7,0.059,0.3900,0.2910,1.340
10/6/14 19:00,-508.4,20.7,-6193.4,15.8,0.0048,0.0051,0.175,0.082,21.4,0.059,0.1000,0.0740,1.351
10/6/14 20:00,-540.8,19.7,-6108.4,15.8,0.0000,0.0000,,0.080,19.8,0.058,0.0020,0.0010,2.000
10/6/14 21:00,-578.7,18.6,-5980.3,15.9,0.0000,0.0000,,0.080,18.2,0.057,0.0000,0.0000,
10/6/14 22:00,-618.2,17.6,-5836.1,16.0,0.0000,0.0000,,0.079,16.9,0.057,0.0000,0.0000,
10/6/14 23:00,-647.2,16.7,-5712.5,16.1,0.0000,0.0000,,0.079,15.9,0.057,0.0000,0.0000,
10/7/14 0:00,-685.4,15.9,-5617.3,16.2,0.0000,0.0000,,0.079,15.0,0.056,0.0000,0.0000,
10/7/14 1:00,-707.3,15.2,-5537.7,16.2,0.0000,0.0000,,0.079,14.3,0.055,0.0000,0.0000,
10/7/14 2:00,-743.6,14.6,-5531.3,16.3,0.0000,0.0000,,0.079,13.6,0.055,0.0000,0.0000,
10/7/14 3:00,-767.4,14.0,-5452.9,16.4,0.0000,0.0000,,0.078,13.0,0.054,0.0000,0.0000,
10/7/14 4:00,-784.9,13.5,-5452.9,16.4,0.0000,0.0000,,0.078,12.4,0.054,0.0000,0.0000,
10/7/14 5:00,-823.8,13.0,-5441.6,16.4,0.0000,0.0000,,0.078,11.9,0.054,0.0000,0.0000,
10/7/14 6:00,-846.1,12.5,-5441.6,16.4,0.0000,0.0000,,0.077,11.5,0.054,0.0000,0.0000,
10/7/14 7:00,-863.8,12.1,-5426.6,16.4,0.0000,0.0000,,0.077,11.1,0.054,0.0000,0.0000,
10/7/14 8:00,-895.8,11.7,-5447.9,16.4,0.0005,0.0007,0.157,0.077,10.5,0.054,0.0190,0.0190,1.000
10/7/14 9:00,-931.6,11.4,-5468.0,16.4,0.0100,0.0139,0.249,0.077,10.4,0.054,0.2400,0.1990,1.206
10/7/14 10:00,-914.8,11.8,-5466.7,16.3,0.0204,0.0266,0.257,0.078,11.3,0.053,0.4530,0.3490,1.298
10/7/14 11:00,-843.4,13.3,-5512.2,16.3,0.0270,0.0343,0.258,0.079,13.6,0.054,0.6230,0.4670,1.334
10/7/14 12:00,-759.5,15.5,-5535.1,16.2,0.0283,0.0357,0.266,0.080,16.9,0.055,0.8170,0.6000,1.362
10/7/14 13:00,-687.1,17.3,-5567.1,16.2,0.0291,0.0363,0.261,0.082,19.2,0.055,0.9590,0.6970,1.376
10/7/14 14:00,-617.5,19.3,-5609.5,16.1,0.0282,0.0357,0.275,0.082,22.0,0.057,1.0140,0.7330,1.383
10/7/14 15:00,-564.2,20.9,-5641.9,16.1,0.0229,0.0291,0.277,0.082,23.6,0.057,0.9420,0.6820,1.381
10/7/14 16:00,-534.8,22.0,-5690.2,16.0,0.0174,0.0216,0.259,0.082,24.7,0.057,0.7910,0.5750,1.376
10/7/14 17:00,-537.3,22.0,-5708.6,16.0,0.0169,0.0215,0.264,0.080,23.9,0.057,0.6100,0.4500,1.356
10/7/14 18:00,-546.3,21.8,-5682.3,16.0,0.0097,0.0089,0.096,0.079,23.2,0.057,0.3380,0.2550,1.325
10/7/14 19:00,-574.8,21.2,-5653.6,16.1,0.0040,0.0013,-0.398,0.077,22.0,0.057,0.0900,0.0690,1.304
10/7/14 20:00,-609.6,20.4,-5603.1,16.1,0.0000,0.0000,,0.076,20.5,0.056,0.0010,0.0010,1.000
10/7/14 21:00,-647.5,19.3,-5542.8,16.2,0.0000,0.0000,,0.075,19.1,0.056,0.0000,0.0000,
10/7/14 22:00,-691.1,18.4,-5475.5,16.3,0.0000,0.0000,,0.074,17.9,0.055,0.0000,0.0000,
10/7/14 23:00,-726.1,17.6,-5429.1,16.4,0.0000,0.0000,,0.074,16.9,0.055,0.0000,0.0000,
10/8/14 0:00,-765.5,16.8,-5353.4,16.5,0.0000,0.0000,,0.074,16.1,0.054,0.0000,0.0000,
10/8/14 1:00,-789.3,16.1,-5295.7,16.5,0.0000,0.0000,,0.074,15.3,0.054,0.0000,0.0000,
10/8/14 2:00,-832.4,15.5,-5250.8,16.6,0.0000,0.0000,,0.074,14.6,0.053,0.0000,0.0000,
10/8/14 3:00,-855.5,15.0,-5230.3,16.7,0.0000,0.0000,,0.073,14.0,0.053,0.0000,0.0000,
10/8/14 4:00,-881.5,14.5,-5215.9,16.7,0.0000,0.0000,,0.073,13.5,0.053,0.0000,0.0000,
10/8/14 5:00,-920.9,14.0,-5203.9,16.7,0.0000,0.0000,,0.073,13.1,0.053,0.0000,0.0000,
10/8/14 6:00,-944.8,13.6,-5205.1,16.7,0.0000,0.0000,,0.073,12.7,0.053,0.0000,0.0000,
10/8/14 7:00,-957.9,13.2,-5195.5,16.7,0.0000,0.0000,,0.073,12.2,0.053,0.0000,0.0000,
10/8/14 8:00,-978.2,12.8,-5212.3,16.7,0.0003,0.0001,-0.354,0.073,11.9,0.053,0.0090,0.0070,1.286
10/8/14 9:00,-1009.8,12.5,-5220.7,16.7,0.0065,0.0020,-0.454,0.073,11.6,0.052,0.1660,0.1350,1.230
10/8/14 10:00,-1007.7,12.7,-5250.8,16.6,0.0208,0.0224,0.165,0.073,12.1,0.052,0.4650,0.3590,1.295
10/8/14 11:00,-943.0,14.2,-5241.1,16.6,0.0276,0.0350,0.256,0.074,14.4,0.052,0.6240,0.4670,1.336
10/8/14 12:00,-845.3,16.2,-5281.1,16.6,0.0296,0.0367,0.259,0.076,17.5,0.053,0.8380,0.6150,1.363
10/8/14 13:00,-765.8,18.1,-5306.7,16.5,0.0276,0.0345,0.261,0.077,19.9,0.054,0.8990,0.6530,1.377
10/8/14 14:00,-701.7,19.6,-5337.4,16.5,0.0297,0.0376,0.268,0.077,22.1,0.055,1.0550,0.7650,1.379
10/8/14 15:00,-644.7,21.0,-5352.1,16.4,0.0234,0.0296,0.268,0.077,23.6,0.055,0.9290,0.6750,1.376
10/8/14 16:00,-614.8,21.9,-5366.9,16.4,0.0139,0.0171,0.257,0.077,24.5,0.055,0.5730,0.4180,1.371
10/8/14 17:00,-624.1,21.8,-5394.2,16.4,0.0086,0.0108,0.260,0.076,23.4,0.055,0.2880,0.2140,1.346
10/8/14 18:00,-644.7,21.3,-5362.0,16.4,0.0054,0.0069,0.256,0.074,22.3,0.055,0.1820,0.1370,1.328
10/8/14 19:00,-681.8,20.7,-5375.6,16.4,0.0011,0.0015,0.242,0.073,21.2,0.055,0.0430,0.0340,1.265
10/8/14 20:00,-717.5,19.8,-5312.8,16.5,0.0000,0.0000,,0.072,19.9,0.054,0.0010,0.0010,1.000
10/8/14 21:00,-766.2,18.9,-5281.1,16.5,0.0000,0.0000,,0.071,18.6,0.054,0.0000,0.0000,
10/8/14 22:00,-807.1,18.0,-5254.4,16.6,0.0000,0.0000,,0.071,17.5,0.054,0.0000,0.0000,
10/8/14 23:00,-850.6,17.3,-5195.5,16.7,0.0000,0.0000,,0.071,16.7,0.053,0.0000,0.0000,
10/9/14 0:00,-878.5,16.7,-5182.3,16.8,0.0000,0.0000,,0.070,16.1,0.053,0.0000,0.0000,
10/9/14 1:00,-926.9,16.2,-5138.4,16.8,0.0000,0.0000,,0.070,15.5,0.052,0.0000,0.0000,
10/9/14 2:00,-953.3,15.6,-5123.0,16.9,0.0000,0.0000,,0.070,14.8,0.051,0.0000,0.0000,
10/9/14 3:00,-974.6,15.1,-5094.8,16.9,0.0000,0.0000,,0.069,14.2,0.051,0.0000,0.0000,
10/9/14 4:00,-1016.5,14.6,-5093.6,16.9,0.0000,0.0000,,0.069,13.7,0.052,0.0000,0.0000,
10/9/14 5:00,-1061.5,14.1,-5072.5,16.9,0.0000,0.0000,,0.069,13.0,0.051,0.0000,0.0000,
10/9/14 6:00,-1086.5,13.4,-5080.7,16.9,0.0000,0.0000,,0.069,12.3,0.051,0.0000,0.0000,
10/9/14 7:00,-1127.8,12.9,-5080.7,16.9,0.0000,0.0000,,0.069,11.7,0.051,0.0000,0.0000,
10/9/14 8:00,-1191.6,12.3,-5103.0,16.9,0.0003,0.0004,0.256,0.069,11.1,0.050,0.0090,0.0070,1.286
10/9/14 9:00,-1216.8,11.9,-5099.5,16.9,0.0040,0.0052,0.261,0.069,10.7,0.050,0.1000,0.0770,1.299
10/9/14 10:00,-1217.4,11.9,-5123.0,16.8,0.0162,0.0207,0.254,0.069,11.1,0.050,0.3510,0.2680,1.310
10/9/14 11:00,-1132.7,13.3,-5150.2,16.8,0.0290,0.0365,0.253,0.069,13.5,0.050,0.6830,0.5130,1.331
10/9/14 12:00,-995.9,15.6,-5180.0,16.7,0.0300,0.0372,0.259,0.071,17.0,0.051,0.8440,0.6180,1.366
10/9/14 13:00,-893.8,17.5,-5193.1,16.6,0.0293,0.0363,0.266,0.073,19.4,0.053,0.9540,0.6920,1.379
10/9/14 14:00,-814.2,19.2,-5244.8,16.6,0.0269,0.0338,0.272,0.073,21.8,0.053,0.9760,0.7040,1.386
10/9/14 15:00,-755.0,20.5,-5255.6,16.5,0.0215,0.0271,0.272,0.073,23.2,0.053,0.9110,0.6570,1.387
10/9/14 16:00,-704.4,21.5,-5273.8,16.5,0.0169,0.0208,0.255,0.073,24.2,0.054,0.7820,0.5670,1.379
10/9/14 17:00,-701.0,21.5,-5305.5,16.5,0.0170,0.0213,0.257,0.071,23.4,0.054,0.5960,0.4380,1.361
10/9/14 18:00,-720.8,21.1,-5309.2,16.5,0.0103,0.0129,0.243,0.069,22.4,0.053,0.3650,0.2760,1.322
10/9/14 19:00,-763.4,20.5,-5294.5,16.5,0.0039,0.0043,0.190,0.068,21.1,0.053,0.0850,0.0650,1.308
10/9/14 20:00,-807.8,19.5,-5256.9,16.5,0.0000,0.0000,,0.067,19.5,0.053,0.0010,0.0010,1.000
10/9/14 21:00,-869.0,18.4,-5239.9,16.6,0.0000,0.0000,,0.066,17.9,0.052,0.0000,0.0000,
10/9/14 22:00,-942.4,17.3,-5175.2,16.6,0.0000,0.0000,,0.066,16.6,0.051,0.0000,0.0000,
10/9/14 23:00,-991.1,16.4,-5169.2,16.7,0.0000,0.0000,,0.066,15.5,0.050,0.0000,0.0000,
10/10/14 0:00,-1059.8,15.7,-5136.0,16.8,0.0000,0.0000,,0.065,14.6,0.050,0.0000,0.0000,
10/10/14 1:00,-1099.8,14.9,-5094.8,16.8,0.0000,0.0000,,0.065,13.7,0.050,0.0000,0.0000,
10/10/14 2:00,-1173.9,14.2,-5069.0,16.9,0.0000,0.0000,,0.065,13.0,0.050,0.0000,0.0000,
10/10/14 3:00,-1216.3,13.6,-5029.5,16.9,0.0000,0.0000,,0.065,12.4,0.049,0.0000,0.0000,
10/10/14 4:00,-1240.3,13.1,-5044.6,16.9,0.0000,0.0000,,0.065,11.9,0.049,0.0000,0.0000,
10/10/14 5:00,-1269.2,12.6,-5033.0,16.9,0.0000,0.0000,,0.065,11.4,0.049,0.0000,0.0000,
10/10/14 6:00,-1320.5,12.2,-5059.7,16.9,0.0000,0.0000,,0.064,10.9,0.049,0.0000,0.0000,
10/10/14 7:00,-1377.0,11.7,-5074.9,16.9,0.0000,0.0000,,0.064,10.5,0.049,0.0000,0.0000,
10/10/14 8:00,-1403.5,11.3,-5081.9,16.8,0.0007,0.0010,0.157,0.064,10.1,0.049,0.0210,0.0230,0.913
10/10/14 9:00,-1423.4,11.0,-5101.8,16.8,0.0090,0.0123,0.235,0.064,9.8,0.049,0.2370,0.2000,1.185
10/10/14 10:00,-1409.0,11.4,-5169.2,16.7,0.0210,0.0270,0.244,0.065,10.6,0.048,0.4580,0.3550,1.290
10/10/14 11:00,-1282.1,12.8,-5176.4,16.6,0.0269,0.0337,0.251,0.065,13.0,0.048,0.6350,0.4770,1.331
10/10/14 12:00,-1142.7,15.0,-5217.1,16.6,0.0300,0.0370,0.257,0.066,16.3,0.049,0.8310,0.6100,1.362
10/10/14 13:00,-1013.0,17.0,-5225.5,16.5,0.0291,0.0360,0.263,0.068,18.9,0.050,0.9430,0.6840,1.379
10/10/14 14:00,-932.2,18.5,-5290.9,16.4,0.0229,0.0286,0.268,0.068,21.1,0.051,0.8030,0.5770,1.392
10/10/14 15:00,-864.0,19.7,-5312.8,16.4,0.0204,0.0256,0.270,0.068,22.0,0.051,0.8560,0.6190,1.383
10/10/14 16:00,-832.6,20.5,-5346.0,16.3,0.0176,0.0216,0.255,0.068,22.9,0.051,0.7770,0.5640,1.378
10/10/14 17:00,-822.7,20.6,-5363.2,16.3,0.0122,0.0150,0.257,0.066,22.3,0.051,0.3710,0.2700,1.374
10/10/14 18:00,-843.6,20.2,-5352.1,16.3,0.0084,0.0102,0.235,0.065,21.2,0.051,0.3070,0.2290,1.341
10/10/14 19:00,-873.0,19.5,-5357.1,16.3,0.0032,0.0038,0.215,0.063,20.0,0.051,0.0810,0.0610,1.328
10/10/14 20:00,-938.3,18.6,-5347.2,16.3,0.0000,0.0000,,0.063,18.6,0.051,0.0010,0.0010,1.000
10/10/14 21:00,-994.5,17.7,-5317.7,16.4,0.0000,0.0000,,0.062,17.2,0.050,0.0000,0.0000,
10/10/14 22:00,-1071.3,16.7,-5278.7,16.4,0.0000,0.0000,,0.062,16.0,0.050,0.0000,0.0000,
10/10/14 23:00,-1137.4,15.9,-5225.5,16.5,0.0000,0.0000,,0.062,15.0,0.049,0.0000,0.0000,
10/11/14 0:00,-1213.2,15.2,-5212.3,16.5,0.0000,0.0000,,0.061,14.1,0.049,0.0000,0.0000,
10/11/14 1:00,-1247.7,14.5,-5189.5,16.6,0.0000,0.0000,,0.061,13.5,0.048,0.0000,0.0000,
10/11/14 2:00,-1308.7,13.9,-5169.2,16.6,0.0000,0.0000,,0.061,12.8,0.048,0.0000,0.0000,
10/11/14 3:00,-1384.9,13.3,-5156.2,16.6,0.0000,0.0000,,0.060,12.2,0.048,0.0000,0.0000,
10/11/14 4:00,-1419.8,12.8,-5156.2,16.7,0.0000,0.0000,,0.060,11.7,0.048,0.0000,0.0000,
10/11/14 5:00,-1445.9,12.4,-5131.3,16.7,0.0000,0.0000,,0.060,11.3,0.048,0.0000,0.0000,
10/11/14 6:00,-1487.1,12.0,-5160.9,16.6,0.0000,0.0000,,0.060,10.8,0.047,0.0000,0.0000,
10/11/14 7:00,-1565.0,11.5,-5146.7,16.6,0.0000,0.0000,,0.060,10.3,0.047,0.0000,0.0000,
10/11/14 8:00,-1626.0,11.1,-5172.8,16.6,0.0006,0.0010,0.164,0.060,9.8,0.047,0.0190,0.0210,0.905
10/11/14 9:00,-1649.0,10.8,-5205.1,16.5,0.0106,0.0147,0.240,0.060,9.6,0.047,0.2780,0.2370,1.173
10/11/14 10:00,-1607.8,11.2,-5217.1,16.5,0.0191,0.0245,0.244,0.060,10.7,0.047,0.4080,0.3160,1.291
10/11/14 11:00,-1429.6,12.7,-5232.7,16.4,0.0282,0.0355,0.253,0.062,13.0,0.047,0.6600,0.4980,1.325
10/11/14 12:00,-1252.9,14.9,-5290.9,16.3,0.0296,0.0369,0.255,0.063,16.2,0.048,0.8170,0.6040,1.353
10/11/14 13:00,-1118.2,16.8,-5330.0,16.3,0.0254,0.0319,0.260,0.063,18.7,0.048,0.7750,0.5730,1.353
10/11/14 14:00,-1046.5,18.0,-5364.5,16.2,0.0261,0.0329,0.266,0.064,20.2,0.049,0.9080,0.6620,1.372
10/11/14 15:00,-967.4,19.1,-5406.6,16.1,0.0188,0.0239,0.270,0.063,21.4,0.049,0.7230,0.5300,1.364
10/11/14 16:00,-951.5,19.5,-5452.9,16.1,0.0150,0.0189,0.260,0.062,21.4,0.049,0.5710,0.4220,1.353
10/11/14 17:00,-952.6,19.4,-5457.9,16.1,0.0140,0.0177,0.262,0.062,20.9,0.049,0.4830,0.3600,1.342
10/11/14 18:00,-961.7,19.2,-5473.0,16.1,0.0048,0.0060,0.253,0.060,20.2,0.049,0.1540,0.1140,1.351
10/11/14 19:00,-1008.6,18.5,-5446.6,16.1,0.0020,0.0027,0.267,0.060,19.0,0.049,0.0610,0.0480,1.271
10/11/14 20:00,-1076.8,17.7,-5434.1,16.1,0.0000,0.0000,,0.059,17.5,0.048,0.0010,0.0000,
10/11/14 21:00,-1166.3,16.7,-5395.4,16.2,0.0000,0.0000,,0.058,16.2,0.048,0.0000,0.0000,
10/11/14 22:00,-1229.5,15.9,-5378.1,16.2,0.0000,0.0000,,0.058,15.2,0.048,0.0000,0.0000,
10/11/14 23:00,-1297.6,15.2,-5346.0,16.3,0.0000,0.0000,,0.058,14.3,0.047,0.0000,0.0000,
10/12/14 0:00,-1393.2,14.5,-5292.1,16.3,0.0000,0.0000,,0.057,13.5,0.047,0.0000,0.0000,
10/12/14 1:00,-1427.3,14.0,-5298.2,16.3,0.0000,0.0000,,0.057,13.0,0.047,0.0000,0.0000,
10/12/14 2:00,-1475.8,13.4,-5254.4,16.4,0.0000,0.0000,,0.057,12.5,0.047,0.0000,0.0000,
10/12/14 3:00,-1559.6,13.0,-5286.0,16.4,0.0000,0.0000,,0.057,12.0,0.046,0.0000,0.0000,
10/12/14 4:00,-1615.6,12.7,-5255.6,16.4,0.0000,0.0000,,0.057,11.8,0.046,0.0000,0.0000,
10/12/14 5:00,-1626.0,12.6,-5278.7,16.4,0.0000,0.0000,,0.056,12.0,0.046,0.0000,0.0000,
10/12/14 6:00,-1631.6,12.5,-5282.3,16.3,0.0000,0.0000,,0.056,11.9,0.046,0.0000,0.0000,
10/12/14 7:00,-1648.3,12.3,-5286.0,16.3,0.0000,0.0000,,0.056,11.5,0.046,0.0000,0.0000,
10/12/14 8:00,-1674.3,11.9,-5319.0,16.3,0.0002,0.0003,0.305,0.056,11.0,0.046,0.0070,0.0050,1.400
10/12/14 9:00,-1703.4,11.5,-5336.1,16.2,0.0015,0.0016,0.243,0.056,10.5,0.045,0.0430,0.0290,1.483
10/12/14 10:00,-1725.9,11.3,-5330.0,16.2,0.0119,0.0152,0.254,0.055,10.4,0.045,0.2500,0.1910,1.309
10/12/14 11:00,-1692.1,11.7,-5369.4,16.2,0.0074,0.0095,0.252,0.056,11.2,0.045,0.2170,0.1670,1.299
10/12/14 12:00,-1657.8,12.2,-5406.6,16.1,0.0251,0.0319,0.258,0.057,12.2,0.045,0.6870,0.5180,1.326
10/12/14 13:00,-1513.3,13.4,-5437.8,16.1,0.0183,0.0230,0.260,0.057,14.2,0.046,0.5440,0.4050,1.343
10/12/14 14:00,-1425.4,14.4,-5495.7,16.0,0.0227,0.0287,0.262,0.058,15.6,0.046,0.7600,0.5620,1.352
10/12/14 15:00,-1366.6,15.3,-5544.0,15.9,0.0143,0.0179,0.257,0.058,16.5,0.046,0.5470,0.4050,1.351
10/12/14 16:00,-1345.6,15.5,-5573.5,15.9,0.0164,0.0205,0.257,0.058,16.6,0.047,0.6210,0.4600,1.350
10/12/14 17:00,-1324.1,15.7,-5597.9,15.8,0.0147,0.0185,0.251,0.058,16.6,0.046,0.4850,0.3630,1.336
10/12/14 18:00,-1351.5,15.6,-5596.6,15.8,0.0100,0.0124,0.240,0.057,16.2,0.046,0.3350,0.2560,1.309
10/12/14 19:00,-1396.5,15.1,-5638.0,15.8,0.0031,0.0039,0.268,0.057,15.2,0.046,0.0750,0.0540,1.389
10/12/14 20:00,-1452.2,14.4,-5644.5,15.8,0.0000,0.0000,,0.055,13.9,0.046,0.0010,0.0000,
10/12/14 21:00,-1587.9,13.5,-5657.5,15.8,0.0000,0.0000,,0.055,12.6,0.046,0.0000,0.0000,
10/12/14 22:00,-1672.0,12.6,-5656.2,15.8,0.0000,0.0000,,0.055,11.4,0.046,0.0000,0.0000,
10/12/14 23:00,-1765.3,11.8,-5612.1,15.8,0.0000,0.0000,,0.054,10.5,0.045,0.0000,0.0000,
10/13/14 0:00,-1924.5,11.1,-5643.2,15.8,0.0000,0.0000,,0.054,9.7,0.045,0.0000,0.0000,
10/13/14 1:00,-1989.9,10.5,-5641.9,15.8,0.0000,0.0000,,0.054,9.0,0.045,0.0000,0.0000,
10/13/14 2:00,-2043.3,10.0,-5657.5,15.8,0.0000,0.0000,,0.054,8.5,0.045,0.0000,0.0000,
10/13/14 3:00,-2120.0,9.5,-5668.0,15.7,0.0000,0.0000,,0.054,8.1,0.045,0.0000,0.0000,
10/13/14 4:00,-2227.5,9.1,-5668.0,15.7,0.0000,0.0000,,0.054,7.6,0.045,0.0000,0.0000,
10/13/14 5:00,-2349.2,8.6,-5750.8,15.7,0.0000,0.0000,,0.054,7.1,0.044,0.0000,0.0000,
10/13/14 6:00,-2412.8,8.2,-5789.3,15.6,0.0000,0.0000,,0.054,6.6,0.045,0.0000,0.0000,
10/13/14 7:00,-2452.0,7.8,-5888.8,15.6,0.0000,0.0000,,0.054,6.1,0.044,0.0000,0.0000,
10/13/14 8:00,-2493.0,7.3,-5987.2,15.5,0.0005,0.0008,0.189,0.054,5.7,0.044,0.0160,0.0170,0.941
10/13/14 9:00,-2535.9,7.0,-6142.2,15.4,0.0086,0.0120,0.236,0.054,5.5,0.044,0.2280,0.1950,1.169
10/13/14 10:00,-2474.7,7.4,-6327.4,15.3,0.0206,0.0267,0.248,0.054,6.4,0.044,0.4570,0.3570,1.280
10/13/14 11:00,-2170.3,8.9,-6461.4,15.3,0.0285,0.0358,0.247,0.055,8.9,0.044,0.6560,0.4970,1.320
10/13/14 12:00,-1827.4,11.2,-6806.5,15.2,0.0301,0.0374,0.253,0.056,12.4,0.044,0.7940,0.5890,1.348
10/13/14 13:00,-1583.2,13.3,-6957.1,15.1,0.0296,0.0367,0.259,0.058,15.3,0.045,0.9010,0.6600,1.365
10/13/14 14:00,-1426.4,14.8,-7147.0,15.0,0.0267,0.0333,0.261,0.058,17.2,0.046,0.9190,0.6700,1.372
10/13/14 15:00,-1285.7,16.3,-7333.8,14.9,0.0206,0.0257,0.261,0.059,19.2,0.046,0.8580,0.6230,1.377
10/13/14 16:00,-1237.2,16.9,-7544.4,14.8,0.0172,0.0210,0.253,0.058,19.3,0.047,0.7300,0.5320,1.372
10/13/14 17:00,-1235.2,17.0,-7631.8,14.8,0.0167,0.0206,0.251,0.057,18.8,0.047,0.5470,0.4050,1.351
10/13/14 18:00,-1242.6,16.8,-7736.2,14.8,0.0101,0.0121,0.222,0.057,18.2,0.047,0.3300,0.2500,1.320
10/13/14 19:00,-1286.0,16.4,-7682.9,14.8,0.0026,0.0032,0.261,0.055,17.0,0.046,0.0740,0.0520,1.423
10/13/14 20:00,-1395.2,15.5,-7619.5,14.8,0.0000,0.0000,,0.054,15.4,0.046,0.0000,0.0000,
10/13/14 21:00,-1491.9,14.5,-7530.5,14.8,0.0000,0.0000,,0.053,13.9,0.046,0.0000,0.0000,
10/13/14 22:00,-1641.4,13.6,-7417.0,14.9,0.0000,0.0000,,0.053,12.7,0.046,0.0000,0.0000,
10/13/14 23:00,-1711.7,12.8,-7367.6,14.9,0.0000,0.0000,,0.053,11.7,0.045,0.0000,0.0000,
10/14/14 0:00,-1863.1,12.1,-7233.1,15.0,0.0000,0.0000,,0.052,10.9,0.044,0.0000,0.0000,
10/14/14 1:00,-1975.3,11.4,-7066.9,15.0,0.0000,0.0000,,0.052,10.1,0.044,0.0000,0.0000,
10/14/14 2:00,-2048.5,10.8,-7049.0,15.0,0.0000,0.0000,,0.052,9.5,0.044,0.0000,0.0000,
10/14/14 3:00,-2160.9,10.3,-7015.0,15.1,0.0000,0.0000,,0.052,8.9,0.044,0.0000,0.0000,
10/14/14 4:00,-2327.2,9.7,-6877.4,15.1,0.0000,0.0000,,0.052,8.3,0.044,0.0000,0.0000,
10/14/14 5:00,-2406.2,9.2,-6995.6,15.1,0.0000,0.0000,,0.052,7.8,0.043,0.0000,0.0000,
10/14/14 6:00,-2453.2,8.8,-6986.0,15.0,0.0000,0.0000,,0.052,7.4,0.043,0.0000,0.0000,
10/14/14 7:00,-2499.3,8.4,-6973.1,15.0,0.0000,0.0000,,0.052,7.0,0.043,0.0000,0.0000,
10/14/14 8:00,-2546.4,8.1,-7068.5,15.0,0.0005,0.0006,0.119,0.052,6.6,0.043,0.0160,0.0170,0.941
10/14/14 9:00,-2574.7,7.9,-7243.1,14.9,0.0080,0.0111,0.234,0.052,6.6,0.043,0.2120,0.1830,1.158
10/14/14 10:00,-2495.3,8.3,-7447.8,14.9,0.0215,0.0275,0.242,0.052,7.5,0.043,0.4550,0.3560,1.278
10/14/14 11:00,-2189.9,9.8,-7530.5,14.8,0.0269,0.0335,0.243,0.052,9.9,0.043,0.6160,0.4660,1.322
10/14/14 12:00,-1841.3,11.9,-7563.6,14.7,0.0310,0.0385,0.253,0.053,13.3,0.043,0.8110,0.6020,1.347
10/14/14 13:00,-1600.8,13.9,-7686.5,14.7,0.0278,0.0343,0.257,0.055,16.1,0.044,0.8510,0.6230,1.366
10/14/14 14:00,-1433.3,15.4,-7843.8,14.6,0.0271,0.0337,0.259,0.056,17.9,0.044,0.9620,0.6990,1.376
10/14/14 15:00,-1291.9,16.9,-7925.5,14.6,0.0206,0.0256,0.266,0.056,19.9,0.045,0.8610,0.6250,1.378
10/14/14 16:00,-1235.5,17.6,-8006.2,14.5,0.0169,0.0205,0.248,0.055,20.0,0.045,0.7220,0.5270,1.370
10/14/14 17:00,-1228.6,17.7,-7984.1,14.5,0.0138,0.0169,0.248,0.055,19.5,0.046,0.4610,0.3430,1.344
10/14/14 18:00,-1230.3,17.7,-7985.9,14.5,0.0088,0.0106,0.227,0.053,19.1,0.045,0.2890,0.2190,1.320
10/14/14 19:00,-1252.4,17.3,-7973.1,14.5,0.0027,0.0032,0.230,0.053,18.2,0.045,0.0730,0.0540,1.352
10/14/14 20:00,-1338.8,16.6,-7982.3,14.5,0.0000,0.0000,,0.052,16.9,0.045,0.0000,0.0000,
10/14/14 21:00,-1422.7,15.9,-7870.9,14.6,0.0000,0.0000,,0.052,15.7,0.045,0.0000,0.0000,
10/14/14 22:00,-1494.9,15.2,-7775.5,14.6,0.0000,0.0000,,0.051,14.9,0.045,0.0000,0.0000,
10/14/14 23:00,-1600.0,14.8,-7675.8,14.7,0.0000,0.0000,,0.050,14.4,0.044,0.0000,0.0000,
10/15/14 0:00,-1643.3,14.4,-7521.9,14.8,0.0000,0.0000,,0.050,14.0,0.044,0.0000,0.0000,
10/15/14 1:00,-1670.0,14.2,-7396.5,14.8,0.0000,0.0000,,0.050,13.8,0.044,0.0000,0.0000,
10/15/14 2:00,-1685.9,14.0,-7243.1,14.9,0.0000,0.0000,,0.050,13.7,0.043,0.0000,0.0000,
10/15/14 3:00,-1698.3,13.9,-7191.6,14.9,0.0000,0.0000,,0.050,13.6,0.043,0.0000,0.0000,
10/15/14 4:00,-1709.3,13.8,-7034.4,15.0,0.0000,0.0000,,0.050,13.6,0.043,0.0000,0.0000,
